,ID,Latitud,Longitud,Elevación,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
ALMATY/KAZAKHSTAN,21136870000.000000,43.230000,76.930000,851.000000,-4.650000,-2.973333,3.363333,11.436667,16.553333,21.580000,23.843333,22.926667,17.626667,9.906667,2.716667,-2.813793
FORT SEVCENKO/KAZAKHSTAN,21138001000.000000,44.550000,50.250000,-25.000000,-0.631034,-0.606897,4.086207,11.275000,17.662069,23.420690,26.189655,25.034483,20.048276,13.282759,5.939286,1.092308
TURKESTAN/KAZAKHSTAN,21138198000.000000,43.270000,68.220000,207.000000,-3.170370,-0.292593,6.859259,14.803571,21.017857,26.775000,28.678571,27.007407,20.370370,11.870370,4.866667,-1.322222
KUWAIT INTERNATIONAL/KUWAIT,21240582000.000000,29.520000,47.980000,55.000000,12.763636,14.633333,19.019048,25.660000,32.250000,36.752381,38.542857,37.694737,33.955000,27.588889,19.860000,14.485000
NARYN/KYRGYZSTAN,21336974000.000000,41.430000,76.000000,2041.000000,-14.908214,-11.467778,-2.115926,7.366667,11.614815,14.877778,17.503571,17.707143,13.596429,6.310714,-2.082143,-11.465517
LUANG-PRABANG/LAOS,21448930000.000000,19.880000,102.130000,305.000000,21.136000,22.908667,26.025714,28.231875,28.471111,28.510000,27.974737,27.813889,27.411579,26.075238,23.304118,20.753571
VIENTIANE/LAOS,21448940000.000000,17.950000,102.570000,171.000000,22.420000,24.527778,27.175000,29.140476,28.359091,28.225000,27.880952,27.445238,27.423913,26.766000,24.694737,22.600000
SENO/LAOS,21448948000.000000,16.670000,105.000000,185.000000,22.448636,24.543158,27.674737,29.263500,28.195556,28.009500,27.220526,26.768125,26.988182,25.830000,23.791000,21.948500
PAKSE/LAOS,21448955000.000000,15.120000,105.780000,102.000000,25.489474,27.447368,29.484211,30.568421,29.489474,28.526316,27.826316,27.568421,27.571429,27.175000,26.115789,25.229412
RINCHINLHUMBE/MONGOLIA,21544203000.000000,51.120000,99.670000,1583.000000,-32.113043,-26.903846,-15.634615,-2.838462,5.882609,11.507692,13.865385,11.238462,4.752000,-3.970833,-18.700000,-28.848000
HATGAL/MONGOLIA,21544207000.000000,50.430000,100.150000,1668.000000,-23.191304,-19.946154,-11.761538,-2.000000,5.217391,10.007692,12.353846,10.642308,4.944000,-2.716000,-13.273077,-19.823077
BARUUNTURUUN/MONGOLIA,21544213000.000000,49.650000,94.400000,1232.000000,-29.836667,-26.922308,-16.656923,0.623846,11.580800,16.478519,18.700800,16.251200,10.063200,1.095385,-12.789231,-24.852593
UIGI/MONGOLIA,21544214000.000000,48.930000,89.930000,1715.000000,-16.751724,-13.365517,-5.846154,2.762069,10.075000,15.234483,17.184615,15.318519,9.210714,1.361538,-7.941379,-14.281481
OMNO-GOBI/MONGOLIA,21544215000.000000,49.020000,91.720000,1590.000000,-21.695652,-17.529167,-7.866667,2.243478,10.200000,15.238462,17.176000,14.948000,8.887500,0.296000,-10.629167,-17.420000
HOVD/MONGOLIA,21544218000.000000,48.020000,91.570000,1405.000000,-23.716667,-18.143333,-6.196667,5.093103,12.727586,17.760000,19.553333,17.096667,11.173333,2.523333,-9.303333,-18.663333
TOSONTSENGEL/MONGOLIA,21544225000.000000,48.730000,98.280000,1723.000000,-31.018571,-27.117333,-15.870667,-1.011429,7.785000,13.089333,15.170000,12.637931,6.204286,-3.062069,-17.106667,-26.923333
TARIALAN/MONGOLIA,21544230000.000000,49.570000,102.000000,1235.000000,-20.570833,-16.223077,-6.403846,2.965385,10.691304,15.276000,17.100000,14.676923,8.820000,0.975000,-10.269231,-17.557692
MUREN/MONGOLIA,21544231000.000000,49.570000,100.170000,1283.000000,-22.196667,-16.876667,-6.866667,2.793103,10.664286,15.831034,17.782759,15.073333,8.570000,0.496552,-9.966667,-18.793333
HUTAG/MONGOLIA,21544232000.000000,49.380000,102.700000,938.000000,-23.848276,-18.400000,-6.373333,3.889655,11.789286,16.580000,18.273333,15.962069,9.457143,1.156667,-10.650000,-19.976667
ERDENEMANDAL/MONGOLIA,21544237000.000000,48.530000,101.380000,1510.000000,-18.532143,-14.846667,-7.075862,1.865517,9.225926,13.943333,15.461538,13.724138,7.872414,0.213793,-8.930000,-15.313333
BULGAN/MONGOLIA,21544239000.000000,48.800000,103.550000,1208.000000,-20.731034,-17.053333,-7.693333,2.286207,9.717857,14.793333,16.821429,14.253333,7.862069,-0.210345,-10.863333,-17.850000
"BAYAN-GOL, SELENGE/MONGOLIA",21544241000.000000,48.900000,106.100000,807.000000,-24.682759,-19.426667,-7.046667,3.496552,11.596429,17.266667,19.580000,16.866667,10.203333,1.463333,-10.886667,-20.353333
CHOIBALSAN/MONGOLIA,21544259000.000000,48.080000,114.550000,747.000000,-20.570000,-15.800000,-6.583333,3.727586,12.100000,18.446667,20.951724,18.658621,11.426667,2.163333,-9.403333,-17.220690
ULIASTAI/MONGOLIA,21544272000.000000,47.750000,96.850000,1759.000000,-22.567857,-18.751724,-9.663333,1.503571,9.132143,14.383333,16.253846,13.613333,7.475000,-0.381481,-12.982143,-19.700000
ALTAI/MONGOLIA,21544277000.000000,46.400000,96.250000,2181.000000,-18.190000,-14.992857,-8.416667,0.458621,7.670370,12.926667,14.885714,12.583333,6.900000,-1.003571,-9.968966,-15.085714
TSETSERLEG/MONGOLIA,21544282000.000000,47.450000,101.470000,1691.000000,-15.100000,-12.560000,-6.083333,2.110345,9.278571,13.589286,15.513793,13.420690,8.275862,1.092857,-7.233333,-12.766667
GAIUUT/MONGOLIA,21544284000.000000,46.700000,100.130000,2126.000000,-25.050000,-20.963636,-11.636364,-0.834783,7.233333,12.695833,15.008696,12.413043,6.017391,-2.347826,-15.143478,-21.772727
HUJIRT/MONGOLIA,21544285000.000000,46.900000,102.770000,1662.000000,-21.468800,-17.046154,-7.769630,1.622963,8.892000,13.637778,15.519231,13.119259,7.796154,-0.400800,-11.184615,-18.366154
BAYANHONGOR/MONGOLIA,21544287000.000000,46.130000,100.680000,1859.000000,-18.265217,-15.061538,-7.338462,2.211538,10.173913,15.565385,17.650000,15.507692,9.384000,0.816000,-10.188462,-16.020833
ARVAIHEER/MONGOLIA,21544288000.000000,46.270000,102.780000,1813.000000,-14.530000,-11.739286,-5.353333,2.410345,9.903448,14.803448,16.770370,14.731034,9.620690,2.232143,-7.089655,-12.300000
"DAUUNMOD, CENTRAL/MONGOLIA",21544292000.000000,47.800000,106.800000,-999.000000,-21.462069,-16.557143,-7.403333,1.832143,10.074074,15.596667,18.167857,15.606667,9.196552,0.444828,-11.796552,-19.007407
MAANTI/MONGOLIA,21544294000.000000,47.300000,107.480000,1430.000000,-22.151724,-18.126667,-9.363333,0.886207,9.353571,15.160000,17.573333,15.014815,8.379310,-0.826667,-12.640000,-19.893333
CHOIR/MONGOLIA,21544298000.000000,46.450000,108.220000,1286.000000,-19.824348,-14.811304,-5.339048,4.057273,12.358947,18.058261,20.518095,17.688696,11.449565,2.625455,-9.824167,-17.276522
BAYAN-OVOO/MONGOLIA,21544302000.000000,47.780000,112.120000,926.000000,-22.019130,-17.684167,-8.024000,3.003333,10.656364,16.566154,19.096000,16.920000,10.333636,0.928333,-11.160000,-18.442500
UNDERKHAAN/MONGOLIA,21544304000.000000,47.320000,110.630000,1033.000000,-23.626154,-19.278333,-7.858519,3.404444,11.436800,17.174815,19.704615,16.860000,10.293077,0.724800,-12.397778,-20.057037
BARUUN-URT/MONGOLIA,21544305000.000000,46.680000,113.280000,981.000000,-21.220690,-16.570000,-6.643333,3.955172,12.250000,18.307407,20.113793,19.600000,11.864000,2.396154,-9.388000,-18.040741
SAIKHAN-OVOO/MONGOLIA,21544336000.000000,45.450000,103.900000,1316.000000,-19.050000,-13.728571,-4.714286,5.111111,13.280000,19.000000,21.517857,19.271429,12.500000,3.282143,-7.846429,-16.600000
MANDALGOVI/MONGOLIA,21544341000.000000,45.770000,106.280000,1393.000000,-17.196429,-12.828571,-5.171429,3.837037,11.944000,17.734483,20.150000,17.510345,11.234483,2.585185,-7.850000,-15.192857
TSOGT-OVOO/MONGOLIA,21544347000.000000,44.420000,105.320000,1298.000000,-15.689655,-11.103333,-3.170000,6.265517,14.214286,20.116667,22.760000,20.365517,13.975862,4.693333,-5.826667,-13.282759
BAYANDELGER/MONGOLIA,21544352000.000000,45.730000,112.370000,1101.000000,-19.160714,-14.992857,-5.817857,4.203704,12.419231,18.450000,21.010714,18.903571,12.157143,3.042857,-8.653571,-16.560714
Sainshand/MONGOLIA,21544354000.000000,44.900000,110.100000,-999.000000,-17.807586,-12.130000,-2.905926,7.039231,14.915833,21.020000,23.968148,21.445000,14.516296,5.057037,-6.548966,-15.148966
ZAMYN-UUD/MONGOLIA,21544358000.000000,43.730000,111.900000,964.000000,-17.778462,-12.243846,-2.551538,7.741481,15.718333,21.406154,24.363704,21.356296,14.990769,5.694615,-6.636296,-14.640000
DALANZADGAD/MONGOLIA,21544373000.000000,43.580000,104.420000,1465.000000,-14.086667,-9.466667,-1.872414,6.944828,14.596429,20.066667,22.493333,19.866667,14.153333,5.653333,-4.326667,-11.626667
MANDALAY/MYANMAR,21648042000.000000,21.980000,96.100000,76.000000,21.213333,23.668889,28.074000,31.178947,31.184211,30.161053,30.308750,29.480000,29.091111,28.224444,25.137500,21.718947
AKYAB/MYANMAR,21648062000.000000,20.100000,92.900000,5.000000,21.433333,23.216667,25.839474,28.334211,28.678571,27.173684,26.832353,26.942105,27.550000,27.702778,25.905882,22.962500
RANGOON/MYANMAR,21648097000.000000,16.800000,96.200000,23.000000,24.834211,26.497059,28.795263,30.637368,29.268636,27.222778,26.846875,26.580000,27.229333,27.665625,27.338125,25.105789
KATHMANDU AIR/NEPAL,21744454000.000000,27.700000,85.370000,1337.000000,11.065652,13.437917,17.384348,20.648095,22.668750,24.376154,24.624167,24.730833,23.766818,20.473462,16.178636,12.340526
"SEEB, INTERNA/OMAN",21841256000.000000,23.580000,58.280000,8.000000,20.388333,21.350833,24.317500,28.900909,33.492500,34.205455,32.704000,30.871667,30.378261,28.770833,25.130435,21.908462
MASIRAH/OMAN,21841288000.000000,20.670000,58.900000,19.000000,22.439130,23.309091,25.437500,28.616000,30.262500,29.624000,27.169565,26.166667,26.617391,27.363636,26.128000,23.848000
THUMRAIT/OMAN,21841314000.000000,17.670000,54.030000,467.000000,18.422308,21.096667,24.411481,28.234348,30.702000,31.499565,29.205000,28.709167,28.920909,26.700833,23.011481,19.692963
SALALAH/OMAN,21841316000.000000,17.030000,54.080000,20.000000,22.750000,23.565385,25.582759,27.596552,29.025000,28.903448,25.828000,24.711538,26.025000,26.376667,25.993103,24.158621
PESHAWAR/PAKISTAN,21941530000.000000,34.020000,71.580000,360.000000,11.486207,13.403333,18.082759,23.472414,29.380000,32.813333,32.158621,30.880000,28.893103,23.680000,17.696667,12.948276
PARACHINAR/PAKISTAN,21941560000.000000,33.870000,70.080000,1726.000000,3.361379,4.272143,8.641481,14.600769,19.540714,23.089630,23.420870,22.580000,20.110769,15.481538,10.657500,5.726667
JHELUM/PAKISTAN,21941598000.000000,32.930000,73.720000,234.000000,11.730714,14.548571,19.524815,24.984074,30.170000,32.366429,30.512414,29.550345,28.457241,24.140000,18.398621,13.464138
FORT SANDEMAN/PAKISTAN,21941620000.000000,31.400000,69.500000,1407.000000,6.131852,8.280714,14.071034,19.687407,25.715862,29.150370,29.040769,28.613846,26.113846,19.968889,13.873462,8.452400
DERA ISMAIL K/PAKISTAN,21941624000.000000,31.820000,70.920000,173.000000,11.950741,14.435714,19.670000,25.465556,31.014286,33.071429,31.913704,31.071429,29.534643,24.859643,18.923929,13.687778
LAHORE CITY/PAKISTAN,21941640000.000000,31.550000,74.330000,215.000000,13.446667,16.270000,21.396667,27.303448,32.053333,33.496667,31.576667,30.943333,29.990000,25.953333,20.376667,15.244828
QUETTA/SAMUNGLI/PAKISTAN,21941660000.000000,30.300000,66.900000,1601.000000,4.895517,6.847037,12.002414,17.454138,22.775172,26.754483,28.806667,27.357931,22.427857,15.913103,10.788966,6.752857
MULTAN/PAKISTAN,21941675000.000000,30.200000,71.430000,123.000000,12.976667,15.830000,21.413793,27.700000,33.220000,35.333333,33.950000,32.644828,30.846667,26.293333,20.100000,14.768966
DAL BANDIN/PAKISTAN,21941712000.000000,28.880000,64.400000,850.000000,11.528696,14.275000,19.770833,25.915000,31.788000,34.873333,36.183478,34.304000,29.993846,24.044000,18.082308,13.056000
JACOBABAD/PAKISTAN,21941715000.000000,28.300000,68.470000,56.000000,15.303571,18.106667,24.053333,30.344828,35.736667,36.972414,34.786207,33.017241,31.592857,27.803333,22.226667,16.670000
PANJGUR/PAKISTAN,21941739000.000000,26.970000,64.100000,981.000000,11.096000,13.416000,18.678621,24.225862,29.521667,31.991379,32.105172,30.888333,27.826667,22.866000,17.709333,13.069333
JIWANI/PAKISTAN,21941756000.000000,25.070000,61.800000,57.000000,20.012963,21.286786,24.278519,27.711923,30.566071,31.516000,30.308077,29.147857,28.714615,28.003571,24.897586,21.635714
CHHOR/PAKISTAN,21941768000.000000,25.520000,69.780000,6.000000,16.985000,19.589091,25.284348,30.310435,33.780000,34.038333,31.832000,30.346667,30.436522,28.546667,22.875652,18.249565
KARACHI AIRPO/PAKISTAN,21941780000.000000,24.900000,67.130000,22.000000,18.955556,21.166667,25.437931,28.821429,31.010714,31.782143,30.362963,29.125000,29.353571,28.671429,24.633333,20.689286
DOHA INTERNAT/QATAR,22041170000.000000,25.250000,51.570000,10.000000,17.257143,18.282609,21.391667,26.326087,31.941667,34.386364,35.433333,34.904167,32.856522,29.517391,24.490909,19.747826
CHUNCHON/REPUBLIC OF KOREA,22147101000.000000,37.900000,127.730000,75.000000,-4.256667,-0.942333,4.921000,12.034333,17.537667,22.091000,24.881000,25.041000,19.754333,12.864333,5.354333,-1.347667
KANGNUNG/REPUBLIC OF KOREA,22147105000.000000,37.750000,128.900000,27.000000,0.440000,2.166667,6.310000,12.886667,17.640000,20.793333,24.183333,24.626667,20.283333,15.473333,9.213333,3.410000
SEOUL/REPUBLIC OF KOREA,22147108000.000000,37.570000,126.970000,87.000000,-2.423333,0.366667,5.500000,12.460000,17.796667,22.236667,24.886667,25.660000,21.200000,14.760000,7.176667,0.403333
ULLUNGDO/REPUBLIC OF KOREA,22147115000.000000,37.480000,130.900000,223.000000,1.281000,2.061000,5.311000,10.927667,15.347333,18.637333,22.167333,23.477333,19.697333,15.177333,9.554000,4.307333
TAEJON/REPUBLIC OF KOREA,22147133000.000000,36.300000,127.400000,78.000000,-1.428571,1.100000,6.132143,12.748276,18.003571,22.289286,25.253571,25.639286,20.842857,14.282143,7.289286,1.121429
POHANG/REPUBLIC OF KOREA,22147138000.000000,36.030000,129.380000,6.000000,2.069333,4.026000,8.179333,14.066333,18.399667,21.616333,25.186333,25.993000,21.876333,16.843000,10.513000,4.599667
PUSAN/REPUBLIC OF KOREA,22147159000.000000,35.100000,129.030000,71.000000,3.228000,4.991333,8.714667,13.694667,17.574667,20.774667,24.184667,25.969333,22.400000,17.660000,11.646667,5.866667
MOKP'O/REPUBLIC OF KOREA,22147165000.000000,34.780000,126.380000,56.000000,1.472000,2.658667,6.505333,12.118667,17.074667,21.144667,24.584667,25.884667,21.938000,16.411333,10.021333,4.141333
YOSU/REPUBLIC OF KOREA,22147168000.000000,34.730000,127.730000,68.000000,2.262000,3.845333,7.795333,13.072000,17.413333,20.793333,24.096000,25.659333,22.222667,17.149333,10.812667,4.982667
CHEJU/REPUBLIC OF KOREA,22147184000.000000,33.520000,126.530000,24.000000,5.996667,6.683333,9.613333,14.066667,18.060000,21.753333,26.100000,27.063333,23.313333,18.430000,13.090000,8.403333
GMO IM.E.T./RUSSIAN FEDERATION (ASIAN SECTOR),22220046000.000000,80.620000,58.050000,20.000000,-22.105455,-21.983636,-21.521905,-17.411429,-6.937000,0.583000,2.553636,1.954737,-1.034091,-8.634500,-15.755417,-20.767143
OSTROV VIZE/RUSSIAN FEDERATION (ASIAN SECTOR),22220069000.000000,79.500000,76.980000,11.000000,-22.272963,-23.733571,-22.729615,-17.223077,-6.885200,0.699655,2.762857,2.390000,-0.332222,-8.387778,-16.210690,-20.633333
GMO IM.E.K. F/RUSSIAN FEDERATION (ASIAN SECTOR),22220292000.000000,77.720000,104.300000,15.000000,-26.706786,-26.874333,-25.411852,-18.813448,-8.382857,0.227931,2.916154,2.435000,-1.025714,-10.030690,-19.154286,-24.165000
OSTROV DIKSON/RUSSIAN FEDERATION (ASIAN SECTOR),22220674000.000000,73.500000,80.400000,47.000000,-23.294286,-24.297586,-21.256154,-15.755357,-6.316071,1.712333,6.275556,6.862333,3.002333,-6.164333,-16.111000,-20.944643
HATANGA/RUSSIAN FEDERATION (ASIAN SECTOR),22220891000.000000,71.980000,102.470000,33.000000,-30.111379,-30.127333,-25.097857,-16.090690,-4.372857,7.057586,13.637857,10.650690,2.999333,-10.584000,-23.350667,-28.301852
OSTROV KOTEL'/RUSSIAN FEDERATION (ASIAN SECTOR),22221432000.000000,76.000000,137.870000,8.000000,-28.364000,-28.434800,-26.614643,-19.521739,-7.896667,0.612692,3.486800,2.697500,-0.457200,-10.000000,-20.864643,-26.305417
COKURDAH/RUSSIAN FEDERATION (ASIAN SECTOR),22221946000.000000,70.620000,147.880000,61.000000,-33.962069,-32.785185,-27.403571,-18.328571,-5.196552,6.233333,10.258333,7.432000,1.196296,-11.581481,-24.679310,-31.704167
NAR'JAN-MAR/RUSSIAN FEDERATION (ASIAN SECTOR),22223205000.000000,67.630000,53.030000,12.000000,-16.160000,-16.344483,-9.972069,-5.506667,1.711429,9.815000,14.512222,11.279286,6.962414,0.321034,-8.375517,-12.924286
SALEHARD/RUSSIAN FEDERATION (ASIAN SECTOR),22223330000.000000,66.530000,66.670000,16.000000,-22.466667,-22.094286,-14.170000,-8.133333,0.250000,10.109655,15.551034,12.106667,6.016667,-2.123333,-14.683448,-20.028276
TURUHANSK/RUSSIAN FEDERATION (ASIAN SECTOR),22223472000.000000,65.780000,87.930000,38.000000,-25.363333,-23.103333,-15.080000,-7.916667,1.313333,11.400000,16.517241,13.053333,5.610000,-5.040000,-18.526667,-23.796552
TARKO-SALE/RUSSIAN FEDERATION (ASIAN SECTOR),22223552000.000000,64.920000,77.820000,27.000000,-23.116667,-21.783333,-13.296667,-7.359310,1.664828,12.386667,17.475172,13.964828,6.799310,-2.521379,-15.072857,-20.946667
NJAKSIMVOL'/RUSSIAN FEDERATION (ASIAN SECTOR),22223724000.000000,62.430000,60.870000,51.000000,-19.056000,-17.291304,-7.166667,-0.837500,7.033333,14.227273,17.241667,13.216667,7.245455,0.356522,-10.947826,-17.204348
BOR/RUSSIAN FEDERATION (ASIAN SECTOR),22223884000.000000,61.600000,90.020000,58.000000,-23.646667,-20.320000,-10.750000,-2.873333,5.555172,13.982759,18.232143,14.303333,6.741379,-2.140000,-14.544828,-22.262069
HANTY-MANSIJS/RUSSIAN FEDERATION (ASIAN SECTOR),22223933000.000000,61.020000,69.030000,46.000000,-18.866667,-17.462069,-7.896552,-1.086207,7.393333,15.271429,18.323333,14.353333,7.770000,0.483333,-10.141379,-16.834483
OLENEK/RUSSIAN FEDERATION (ASIAN SECTOR),22224125000.000000,68.500000,112.430000,220.000000,-36.123333,-32.600000,-22.880000,-11.717241,-0.879310,9.985714,15.120690,10.950000,2.350000,-11.306667,-28.196667,-33.689286
DZARDZAN/RUSSIAN FEDERATION (ASIAN SECTOR),22224143000.000000,68.730000,124.000000,39.000000,-37.390000,-33.470000,-23.815385,-11.443333,0.332000,10.696296,15.173077,10.933333,3.168000,-11.577778,-29.146429,-35.541667
VERHOJANSK/RUSSIAN FEDERATION (ASIAN SECTOR),22224266000.000000,67.550000,133.380000,137.000000,-45.336667,-41.530000,-29.240000,-12.200000,3.621429,13.551724,16.350000,11.575862,2.806667,-14.130000,-34.683333,-43.555172
TURA/RUSSIAN FEDERATION (ASIAN SECTOR),22224507000.000000,64.270000,100.230000,168.000000,-34.285517,-29.544138,-17.446667,-6.033333,4.330000,13.642069,17.507586,13.436667,5.593793,-6.003333,-23.126667,-32.043333
VILJUJSK/RUSSIAN FEDERATION (ASIAN SECTOR),22224641000.000000,63.770000,121.620000,111.000000,-35.866667,-30.326667,-18.924138,-5.650000,5.846667,15.436667,18.665517,14.500000,5.496667,-7.410000,-25.793333,-34.648276
OJMJAKON/RUSSIAN FEDERATION (ASIAN SECTOR),22224688000.000000,63.250000,143.150000,741.000000,-46.341379,-42.196552,-31.310000,-13.525000,2.953571,12.357143,14.824138,10.455172,2.221429,-14.603333,-34.982759,-45.532143
SUNTAR/RUSSIAN FEDERATION (ASIAN SECTOR),22224738000.000000,62.150000,117.650000,133.000000,-32.160000,-27.310345,-17.244828,-4.353333,6.372414,15.231034,18.171429,14.310345,5.813793,-6.000000,-22.910345,-31.660714
ERBOGACEN/RUSSIAN FEDERATION (ASIAN SECTOR),22224817000.000000,61.270000,108.020000,291.000000,-29.603571,-26.320000,-15.924138,-4.507692,5.782143,14.306897,17.496429,13.673333,5.320000,-5.153333,-20.200000,-28.928571
JAKUTSK/RUSSIAN FEDERATION (ASIAN SECTOR),22224959000.000000,62.020000,129.720000,101.000000,-37.761667,-33.058333,-19.425000,-4.320000,8.138621,17.107586,20.072593,15.980000,6.707586,-7.037241,-26.366000,-37.057931
MYS SMIDTA/RUSSIAN FEDERATION (ASIAN SECTOR),22225173000.000000,68.900000,-179.370000,4.000000,-24.980714,-25.680000,-23.273333,-16.920741,-5.016429,2.318333,4.909600,3.859231,0.565600,-7.046897,-14.649630,-22.582963
ILIRNEJ/RUSSIAN FEDERATION (ASIAN SECTOR),22225248000.000000,67.250000,167.970000,353.000000,-35.882857,-32.828696,-26.856000,-16.572381,-0.865000,11.222105,14.046667,9.970476,2.458947,-11.875000,-26.221000,-32.482222
UST'-OLOJ/RUSSIAN FEDERATION (ASIAN SECTOR),22225325000.000000,66.550000,159.420000,127.000000,-36.380000,-33.996296,-25.059259,-12.755172,2.417857,12.103704,14.342308,9.992308,2.800000,-10.274074,-25.600000,-34.300000
MYS UELEN/RUSSIAN FEDERATION (ASIAN SECTOR),22225399000.000000,66.170000,-169.830000,3.000000,-18.453333,-19.405862,-17.645385,-11.180000,-1.494286,4.266000,8.477407,8.089231,5.225556,0.112857,-6.386000,-13.938000
ZYRJANKA/RUSSIAN FEDERATION (ASIAN SECTOR),22225400000.000000,65.730000,150.900000,43.000000,-36.510714,-33.140000,-24.046667,-11.336667,3.772414,13.624138,16.362963,12.010345,4.410345,-10.137931,-26.200000,-34.835714
ANADYR'/RUSSIAN FEDERATION (ASIAN SECTOR),22225563000.000000,64.780000,177.570000,61.000000,-22.586207,-21.882143,-19.242857,-12.803448,-1.555556,6.385714,11.403846,10.117241,4.750000,-4.707407,-13.516000,-19.353846
KAMENSKOE/RUSSIAN FEDERATION (ASIAN SECTOR),22225744000.000000,62.430000,166.080000,10.000000,-24.211538,-22.980000,-18.072000,-10.273913,1.800000,10.486364,13.470588,11.677778,5.584211,-5.100000,-15.992308,-22.950000
KORF/RUSSIAN FEDERATION (ASIAN SECTOR),22225954000.000000,60.350000,166.000000,4.000000,-15.270000,-14.026667,-11.100000,-5.671429,2.158621,8.839286,12.470370,12.282143,8.000000,0.033333,-8.076667,-13.400000
TOBOL'SK/RUSSIAN FEDERATION (ASIAN SECTOR),22228275000.000000,58.150000,68.250000,50.000000,-17.083333,-15.580000,-7.030000,1.796552,10.210000,16.693103,18.730000,15.306667,8.953333,2.196552,-8.262069,-14.917241
OMSK/RUSSIAN FEDERATION (ASIAN SECTOR),22228698000.000000,55.020000,73.380000,122.000000,-16.253333,-15.048276,-7.280000,3.768966,12.496667,17.858621,19.586667,16.863333,10.436667,3.540000,-7.310345,-13.775862
KOLPASEVO/RUSSIAN FEDERATION (ASIAN SECTOR),22229231000.000000,58.320000,82.950000,75.000000,-19.233333,-16.526667,-8.000000,-0.266667,8.479310,15.531034,18.431034,15.070000,8.223333,0.813793,-9.690000,-17.182759
ENISEJSK/RUSSIAN FEDERATION (ASIAN SECTOR),22229263000.000000,58.450000,92.150000,79.000000,-20.546667,-17.190000,-8.693333,-0.182759,8.471429,15.424138,18.765517,15.206667,8.070000,-0.006667,-10.506667,-17.893333
BOGUCANY/RUSSIAN FEDERATION (ASIAN SECTOR),22229282000.000000,58.380000,97.450000,133.000000,-23.289655,-19.953333,-9.689655,0.233333,8.458621,15.960714,19.096429,15.613793,8.127586,-0.286207,-11.682759,-20.793103
KRASNOJARSK/RUSSIAN FEDERATION (ASIAN SECTOR),22229570000.000000,56.030000,92.750000,276.000000,-15.500000,-12.889286,-5.628571,1.903704,10.267857,16.088889,18.661538,15.600000,8.944444,1.729630,-7.414815,-13.892308
IRTYSSK/RUSSIAN FEDERATION (ASIAN SECTOR),22229807000.000000,53.350000,75.450000,94.000000,-16.506667,-15.566667,-8.076667,4.713333,13.783333,19.436667,21.076667,18.403333,11.770000,4.120000,-6.790000,-13.550000
MINUSINSK/RUSSIAN FEDERATION (ASIAN SECTOR),22229866000.000000,53.700000,91.700000,254.000000,-17.646667,-15.266667,-5.735714,3.996552,11.986207,17.425000,19.941379,17.003333,10.036667,2.536667,-7.155172,-14.506667
VITIM/RUSSIAN FEDERATION (ASIAN SECTOR),22230054000.000000,59.450000,112.580000,190.000000,-29.932000,-24.625000,-14.595833,-2.233333,6.686957,15.252174,18.100000,14.830435,6.583333,-3.654167,-17.560000,-26.778261
KIRENSK/RUSSIAN FEDERATION (ASIAN SECTOR),22230230000.000000,57.770000,108.070000,259.000000,-26.307143,-22.626667,-12.706897,-1.314815,7.755172,15.358621,18.292857,15.096667,6.743333,-2.100000,-15.532143,-24.432143
BRATSK/RUSSIAN FEDERATION (ASIAN SECTOR),22230309000.000000,57.280000,101.750000,416.000000,-19.884615,-16.971429,-8.796429,-0.180000,7.537037,14.220000,18.436000,15.577778,8.216000,0.722222,-8.595833,-17.120000
BAGDARIN/RUSSIAN FEDERATION (ASIAN SECTOR),22230554000.000000,54.470000,113.580000,903.000000,-28.799259,-23.078621,-14.354483,-2.726897,5.881429,12.926429,15.602963,12.882963,5.263077,-4.983704,-18.678519,-27.226667
MOGOCA/RUSSIAN FEDERATION (ASIAN SECTOR),22230673000.000000,53.750000,119.730000,625.000000,-28.244444,-22.810714,-13.161538,-0.803571,7.867857,14.396154,17.034615,14.403846,6.673077,-3.778571,-18.485185,-27.271429
IRKUTSK/RUSSIAN FEDERATION (ASIAN SECTOR),22230710000.000000,52.270000,104.320000,469.000000,-17.632143,-14.446667,-6.413333,2.685185,10.226667,15.379310,18.278571,15.866667,9.068966,1.840000,-7.748148,-15.307143
CITA/RUSSIAN FEDERATION (ASIAN SECTOR),22230758000.000000,52.080000,113.480000,671.000000,-25.314286,-19.182759,-8.924138,1.420690,9.624138,16.420690,18.692857,15.877778,8.777778,-0.320690,-12.368966,-21.920690
ALDAN/RUSSIAN FEDERATION (ASIAN SECTOR),22231004000.000000,58.620000,125.370000,682.000000,-26.560333,-23.507000,-15.398000,-4.451333,4.885333,13.588276,16.357241,13.142000,4.725333,-6.504667,-19.315172,-25.697931
OHOTSK/RUSSIAN FEDERATION (ASIAN SECTOR),22231088000.000000,59.370000,143.200000,6.000000,-20.937931,-18.526667,-12.824138,-4.153333,2.300000,8.003448,12.850000,13.520000,8.739286,-1.428571,-13.367857,-19.668966
AJAN/RUSSIAN FEDERATION (ASIAN SECTOR),22231168000.000000,56.450000,138.150000,8.000000,-17.640741,-15.927586,-10.217241,-3.096552,1.979310,7.668966,12.375000,13.644828,9.571429,0.637931,-10.379310,-16.465517
