,ID,Latitud,Longitud,Elevación,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
MYS ZOLOTOJ/RUSSIAN FEDERATION (ASIAN SECTOR),22231829000.000000,47.320000,138.980000,26.000000,-7.035714,-5.535714,-0.792308,4.376923,8.735714,12.378571,16.607143,20.400000,17.940000,11.042857,1.828571,-4.942857
DAL'NERECENSK/RUSSIAN FEDERATION (ASIAN SECTOR),22231873000.000000,45.870000,133.730000,101.000000,-12.992857,-8.992857,-0.057143,12.300000,19.478571,24.164286,26.528571,26.506667,20.640000,12.286667,-0.166667,-10.640000
VLADIVOSTOK/RUSSIAN FEDERATION (ASIAN SECTOR),22231960000.000000,43.120000,131.930000,184.000000,-7.827273,-4.533333,2.040909,9.990476,14.786364,17.781818,21.081818,23.504762,19.790476,13.056522,2.991304,-5.540000
ALEKSANDROVSK/RUSSIAN FEDERATION (ASIAN SECTOR),22232061000.000000,50.900000,142.170000,31.000000,-12.921429,-10.686667,-3.533333,4.326667,10.413333,16.266667,19.486667,20.975000,16.706667,8.368750,-1.150000,-8.537500
PORONAJSK/RUSSIAN FEDERATION (ASIAN SECTOR),22232098000.000000,49.220000,143.100000,8.000000,-11.046667,-8.580000,-2.466667,3.386667,8.586667,13.318750,16.546667,19.825000,16.787500,9.562500,-0.264706,-7.550000
JUZNO-SAHALIN/RUSSIAN FEDERATION (ASIAN SECTOR),22232150000.000000,46.920000,142.720000,24.000000,-5.666667,-5.269231,-0.369231,7.172727,13.607143,18.485714,20.757143,22.578571,19.846154,12.571429,3.514286,-3.871429
JUZNO-KURIL'S/RUSSIAN FEDERATION (ASIAN SECTOR),22232165000.000000,44.020000,145.870000,49.000000,-2.172857,-3.180000,-0.060000,4.333333,8.213333,10.726250,13.900000,18.395000,17.063750,12.932500,6.801250,1.207500
KLJUCI/RUSSIAN FEDERATION (ASIAN SECTOR),22232389000.000000,56.320000,160.830000,29.000000,-13.578571,-9.778571,-3.750000,1.492308,9.864286,17.853846,20.964286,18.400000,13.786667,6.226667,-2.840000,-10.126667
ICA/RUSSIAN FEDERATION (ASIAN SECTOR),22232411000.000000,55.580000,155.580000,6.000000,-9.045455,-8.923077,-4.566667,0.518182,5.400000,9.375000,13.200000,13.853846,11.500000,6.983333,-0.691667,-5.310000
NIKOL'SKOE/RUSSIAN FEDERATION (ASIAN SECTOR),22232618000.000000,55.200000,165.980000,18.000000,-1.963636,-2.400000,-1.200000,0.809091,4.409091,7.836364,11.123077,12.878571,11.616667,7.063636,2.376923,-0.858333
ORENBURG/RUSSIAN FEDERATION (ASIAN SECTOR),22235121000.000000,51.680000,55.100000,117.000000,-7.805882,-6.882353,-1.362500,12.978947,21.558824,27.552632,29.452632,27.205882,20.529412,10.541176,-0.411765,-6.076471
TURAIF/SAUDI ARABIA,22340356000.000000,31.680000,38.730000,852.000000,13.350000,16.000000,19.720000,25.433333,31.736364,35.591667,37.700000,38.253846,34.488889,29.566667,21.136364,16.490909
AL QAYSUMAH/SAUDI ARABIA,22340373000.000000,28.320000,46.120000,360.000000,18.500000,22.325000,27.241667,33.407692,40.092308,43.853846,44.841667,45.592308,41.636364,36.900000,26.490000,20.200000
TABUK/SAUDI ARABIA,22340375000.000000,28.370000,36.600000,768.000000,18.844444,21.358333,24.875000,30.508333,35.030769,37.913333,39.068750,39.625000,37.061538,32.664286,25.438462,20.035714
HAIL/SAUDI ARABIA,22340394000.000000,27.430000,41.680000,1013.000000,17.609091,21.061538,24.269231,30.115385,34.984615,38.825000,39.685714,40.640000,38.136364,33.023077,25.683333,19.466667
WEJH/SAUDI ARABIA,22340400000.000000,26.200000,36.470000,21.000000,25.720000,26.180000,27.743636,30.395385,32.680000,33.500000,35.295385,35.270909,34.513333,33.240000,31.002857,27.327692
GASSIM/SAUDI ARABIA,22340405000.000000,26.300000,43.770000,650.000000,20.091667,24.100000,28.830769,34.066667,39.625000,43.221429,43.907692,44.776923,41.845455,35.980000,27.300000,21.936364
DHAHRAN/SAUDI ARABIA,22340416000.000000,26.270000,50.150000,17.000000,21.344444,23.677778,27.920000,33.490000,39.509091,42.858333,44.025000,43.183333,40.540000,36.516667,29.016667,24.341667
MADINAH/SAUDI ARABIA,22340430000.000000,24.550000,39.700000,636.000000,24.209091,27.791667,31.053846,35.966667,39.784615,43.207143,43.180000,44.181250,42.500000,37.669231,31.106667,26.614286
RIYADH/SAUDI ARABIA,22340438000.000000,24.720000,46.730000,620.000000,21.562727,23.795000,28.201818,33.884444,39.882500,42.917273,43.832500,44.271818,40.899000,36.057500,27.332500,22.270714
YENBO/SAUDI ARABIA,22340439000.000000,24.020000,38.220000,11.000000,27.432000,29.462857,31.872222,34.160000,38.806250,39.747778,40.618750,40.851667,39.911667,36.706250,33.971111,30.074000
TAIF/SAUDI ARABIA,22341036000.000000,21.480000,40.550000,1454.000000,23.633333,25.588889,27.500000,30.700000,34.208333,37.038462,36.321429,36.358333,35.225000,31.340000,27.070000,24.041667
GIZAN/SAUDI ARABIA,22341140000.000000,16.900000,42.500000,5.000000,31.103333,31.941000,33.295000,35.818571,37.840000,38.875714,38.837692,38.191000,38.422000,36.676429,34.378333,32.040714
COLOMBO/SRI LANKA,22443466000.000000,6.900000,79.870000,7.000000,31.122222,31.354545,31.600000,31.633333,31.400000,30.560000,30.033333,30.200000,30.275000,30.254545,30.377778,30.670000
HAMBANTOTA/SRI LANKA,22443497000.000000,6.120000,81.130000,20.000000,30.640000,31.408333,31.860000,31.736364,31.300000,31.109091,31.570000,31.045455,30.636364,30.925000,30.511111,30.500000
MAE HONG SON/THAILAND,22848300000.000000,19.300000,97.830000,269.000000,30.062500,33.326667,36.607692,38.578571,35.878571,32.933333,32.133333,31.953333,32.873333,32.466667,30.800000,28.875000
CHIANG RAI/THAILAND,22848303000.000000,19.920000,99.830000,395.000000,28.338889,31.221053,33.910526,35.185000,33.452632,32.225000,31.085000,30.936842,31.215789,30.315789,28.489474,26.820000
CHIANG MAI/THAILAND,22848327000.000000,18.780000,98.980000,314.000000,30.464545,33.630909,35.693000,37.624000,34.774545,33.463846,32.270909,32.125833,32.163846,32.265000,30.940769,29.856667
UDON THANI/THAILAND,22848354000.000000,17.380000,102.800000,182.000000,31.069167,32.350000,35.333000,36.028571,34.293636,33.723000,32.751111,32.483000,32.020000,32.130000,31.500000,29.827500
PHITSANULOK/THAILAND,22848378000.000000,16.780000,100.270000,45.000000,31.170000,33.046667,36.046250,36.295556,34.634000,35.430000,33.186000,32.676000,32.486364,32.468571,31.822727,31.066000
NAKHON SAWAN/THAILAND,22848400000.000000,15.800000,100.170000,35.000000,32.663846,35.117692,36.783077,38.082000,35.880370,34.702593,33.954444,33.388846,32.885000,32.361852,31.858214,31.061852
ROI ET/THAILAND,22848405000.000000,16.050000,103.680000,142.000000,29.968750,32.493750,34.618750,35.843750,34.237500,32.768750,32.225000,31.556250,31.250000,30.618750,30.037500,28.743750
NAKHON RATCHA/THAILAND,22848431000.000000,14.970000,102.080000,188.000000,31.060000,33.211111,35.630769,36.555556,35.327273,34.910000,34.166667,33.415385,32.350000,31.372727,30.578571,29.714286
KANCHANABURI/THAILAND,22848450000.000000,14.020000,99.530000,29.000000,32.994286,35.888000,37.874667,38.614667,36.428000,34.214667,33.948000,33.387143,33.568000,32.181333,31.644000,31.164000
BANGKOK/THAILAND,22848455000.000000,13.730000,100.570000,20.000000,32.540000,33.566667,34.627273,36.316667,34.622222,34.200000,33.310000,33.020000,32.972727,32.977778,32.990909,32.610000
ARANYAPRATHET/THAILAND,22848462000.000000,13.700000,102.580000,49.000000,32.945455,33.809091,36.272727,37.010000,34.790909,34.200000,33.130769,33.016667,32.425000,32.620000,31.963636,31.276923
CHANTHABURI/THAILAND,22848480000.000000,12.600000,102.120000,4.000000,32.460000,32.861538,33.675000,34.212500,33.063636,32.257143,31.760000,31.706667,31.638462,32.421429,32.550000,31.978571
PRACHUAP KHIR/THAILAND,22848500000.000000,11.830000,99.830000,5.000000,31.523000,32.675455,33.922000,35.235556,34.213000,33.820909,32.554000,32.723000,32.711818,32.543000,31.592727,31.183636
CHUMPHON/THAILAND,22848517000.000000,10.480000,99.180000,5.000000,30.105000,31.406923,32.748519,33.933846,32.700370,31.594286,31.374444,31.063333,31.076429,30.715185,29.780000,29.533571
SONGKHLA/THAILAND,22848568000.000000,7.200000,100.600000,5.000000,30.220000,30.751111,31.605455,32.892500,33.605000,33.343636,33.586000,33.438333,33.056000,31.760000,30.196000,29.774000
KRASNOVODSK/TURKMENISTAN,22938507000.000000,40.030000,52.980000,89.000000,7.015000,8.842857,13.326087,20.413636,26.426087,31.781818,34.582609,34.662500,29.447826,21.600000,14.904348,9.286957
CARDZOU/TURKMENISTAN,22938687000.000000,39.080000,63.600000,193.000000,7.715000,10.590000,17.552174,25.245455,30.539130,35.034783,36.443478,34.945833,30.027273,23.208696,16.104348,9.304348
GASAN-KULI/TURKMENISTAN,22938750000.000000,37.470000,53.970000,23.000000,11.283333,12.283333,15.908333,21.407692,25.872727,29.550000,31.633333,31.758333,29.566667,24.250000,18.757143,13.600000
KIZYL-ARVAT/TURKMENISTAN,22938763000.000000,38.980000,56.280000,97.000000,6.108333,8.408333,15.816667,23.846154,30.516667,36.475000,38.808333,36.983333,31.358333,22.816667,15.014286,8.592857
ASHGABAT/TURKMENISTAN,22938880000.000000,37.970000,58.330000,228.000000,8.135714,9.650000,17.345455,23.253846,30.058333,36.008333,38.992308,37.107143,31.200000,24.014286,17.053333,10.946667
BAJRAM-ALI/TURKMENISTAN,22938895000.000000,37.600000,62.180000,241.000000,9.166667,11.984615,18.325000,25.776923,31.916667,36.991667,38.900000,36.608333,31.100000,24.258333,18.171429,11.321429
CIMBAJ/UZBEKISTAN,23138262000.000000,42.950000,59.820000,66.000000,0.643333,3.160500,11.559091,20.695238,28.000000,33.195455,34.830435,33.286364,26.586364,18.327273,9.527727,2.800435
TAMDY/UZBEKISTAN,23138413000.000000,41.730000,64.620000,237.000000,2.938095,6.159091,13.985000,22.365000,29.720000,35.604762,37.504348,35.854545,29.428571,20.450000,11.538095,4.935000
TASHKENT/UZBEKISTAN,23138457000.000000,41.270000,69.270000,488.000000,7.027273,9.542857,15.090909,22.077273,27.604348,33.426087,35.720000,34.820833,29.452174,21.673913,14.765217,8.759091
FERGANA/UZBEKISTAN,23138618000.000000,40.370000,71.750000,577.000000,4.682353,7.250000,14.581250,22.225000,27.411765,33.111765,34.929412,33.558824,28.811111,20.994118,13.333333,5.882353
SAMARKAND/UZBEKISTAN,23138696000.000000,39.570000,66.950000,724.000000,6.782353,8.982353,14.062500,20.937500,26.729412,32.176471,34.194118,32.944444,28.322222,21.566667,15.100000,8.547059
TERMEZ/UZBEKISTAN,23138927000.000000,37.230000,67.270000,310.000000,10.064706,12.794118,18.431250,26.293750,32.535294,37.664706,39.452941,37.672222,32.638889,25.850000,18.227778,11.376471
MACAO/MACAU (PORTUGAL),23445011000.000000,22.200000,113.530000,59.000000,18.581818,19.275000,21.657143,24.320000,28.550000,30.077778,31.391667,31.320000,30.450000,28.722222,24.480000,20.772727
JUJUY AERO/ARGENTINA,30187046000.000000,-24.380000,-65.080000,905.000000,29.651111,28.711538,26.787333,23.644615,21.007857,19.350000,20.048571,22.891429,26.022727,28.762500,30.411538,29.965385
SALTA AERO/ARGENTINA,30187047000.000000,-24.850000,-65.480000,1221.000000,27.692308,26.669231,25.166667,22.692857,19.780000,19.793333,20.243750,23.100000,24.480000,27.131250,27.831250,28.200000
LAS LOMITAS/ARGENTINA,30187078000.000000,-24.700000,-60.580000,130.000000,34.642222,33.480000,32.270000,28.186667,24.020000,23.032500,23.974545,25.840000,28.348571,32.270000,33.347273,33.753333
SANTIAGO DEL/ARGENTINA,30187129000.000000,-27.770000,-64.300000,199.000000,34.050000,32.800000,30.416667,26.381818,22.633333,20.700000,21.376923,24.837500,27.763636,30.621429,32.509091,33.150000
RESISTENCIA A/ARGENTINA,30187155000.000000,-27.450000,-59.050000,52.000000,32.913636,31.769000,30.731333,26.475385,22.960000,21.629231,21.540000,23.135000,25.787500,28.029286,29.436429,31.372143
FORMOSA AERO/ARGENTINA,30187162000.000000,-26.200000,-58.230000,60.000000,33.722222,33.077778,32.309091,28.810000,23.820000,22.845455,22.733333,25.910000,26.970000,29.709091,30.676923,32.638462
POSADAS AERO./ARGENTINA,30187178000.000000,-27.370000,-55.970000,133.000000,32.787500,32.369231,31.184615,27.820000,23.507692,22.000000,21.557143,24.466667,25.241667,28.021429,30.342857,32.066667
LA RIOJA AERO/ARGENTINA,30187217000.000000,-29.380000,-66.820000,429.000000,34.561538,33.463636,31.209091,26.963636,22.241667,19.661538,19.971429,23.336364,26.846154,31.154545,33.758333,34.880000
CATAMARCA AER/ARGENTINA,30187222000.000000,-28.600000,-65.770000,454.000000,34.150000,33.400000,31.630000,27.033333,22.377778,20.507692,20.470000,23.736364,27.630000,31.318182,33.000000,33.827273
CERES AERO/ARGENTINA,30187257000.000000,-29.880000,-61.950000,88.000000,32.749091,32.194545,29.467273,24.460000,21.720000,19.228889,19.476000,21.845455,24.925000,28.054545,29.491111,30.990909
RECONQUISTA A/ARGENTINA,30187270000.000000,-29.180000,-59.700000,53.000000,31.898462,31.262143,28.844000,24.575385,21.297857,19.183571,19.229231,21.783571,23.949167,26.247857,28.227273,30.299231
PASO DE LOS L/ARGENTINA,30187289000.000000,-29.680000,-57.150000,70.000000,32.253846,31.450000,29.546154,25.915385,21.478571,19.091667,19.057143,21.683333,22.407143,25.361538,28.514286,30.820000
SAN JUAN AERO/ARGENTINA,30187311000.000000,-31.570000,-68.870000,598.000000,35.075000,33.325000,30.269231,24.975000,20.625000,17.670000,17.350000,20.233333,23.627273,28.436364,31.963636,34.191667
CORDOBA AERO/ARGENTINA,30187344000.000000,-31.320000,-64.220000,474.000000,29.846154,28.719231,27.234615,23.821429,20.470000,18.583333,18.133333,20.758333,23.713636,26.216667,28.077273,29.457143
PILAR OBSERVA/ARGENTINA,30187349000.000000,-31.670000,-63.880000,338.000000,30.145455,28.748462,27.711429,24.272727,20.218182,18.117692,17.566667,20.663846,23.183333,26.054286,28.734444,29.841667
PARANA AERO/ARGENTINA,30187374000.000000,-31.780000,-60.480000,78.000000,30.863636,29.718182,27.546154,22.716667,19.563636,17.154545,16.627273,19.058333,21.421429,24.708333,27.445455,29.566667
CONCORDIA AER/ARGENTINA,30187395000.000000,-31.300000,-58.020000,38.000000,31.942857,30.342857,28.460000,24.453846,20.450000,18.100000,17.866667,20.175000,21.978571,24.943750,27.726667,30.420000
MENDOZA AERO/ARGENTINA,30187418000.000000,-32.830000,-68.780000,704.000000,32.081818,30.287500,27.484615,22.810000,18.340000,15.281818,15.650000,18.125000,20.881818,25.318182,28.909091,31.783333
SAN LUIS AERO/ARGENTINA,30187436000.000000,-33.270000,-66.350000,713.000000,31.309091,28.980000,26.633333,22.870000,18.627273,17.025000,16.933333,19.450000,22.220000,26.233333,28.292857,30.100000
VILLA REYNOLD/ARGENTINA,30187448000.000000,-33.730000,-65.380000,486.000000,30.632727,28.850000,27.524167,23.589167,19.871667,17.046154,17.058182,19.446154,21.824167,25.439231,28.100769,29.569091
RIO CUARTO AE/ARGENTINA,30187453000.000000,-33.120000,-64.230000,421.000000,28.842857,27.091667,26.181250,22.971429,19.340000,15.975000,16.028571,18.053333,21.140000,24.225000,26.850000,28.385714
ROSARIO AERO/ARGENTINA,30187480000.000000,-32.920000,-60.780000,25.000000,31.050000,29.215385,27.633333,23.813333,19.878571,16.771429,16.700000,19.725000,21.220000,24.713333,27.693333,29.573333
GUALEGUAYCHU/ARGENTINA,30187497000.000000,-33.000000,-58.620000,21.000000,31.010000,29.381818,27.290000,23.736364,19.727273,17.200000,16.800000,18.490909,20.707692,24.336364,27.176923,29.472727
SAN RAFAEL AE/ARGENTINA,30187509000.000000,-34.580000,-68.400000,748.000000,31.623636,29.611818,27.243077,22.148462,18.471667,15.618571,15.805000,17.787273,20.263333,24.638333,27.860000,29.502500
LABOULAYE/ARGENTINA,30187534000.000000,-34.130000,-63.370000,137.000000,30.711818,29.291000,27.156923,22.838333,19.500714,16.342500,16.043571,18.264167,21.595000,24.577692,27.423846,29.763636
PEHUAJO AERO/ARGENTINA,30187544000.000000,-35.870000,-61.900000,86.000000,30.358889,29.603333,26.852000,22.592308,18.975833,15.176923,14.842500,17.147273,19.650833,23.001818,26.092727,28.580000
JUNIN AERO/ARGENTINA,30187548000.000000,-34.550000,-60.920000,81.000000,29.922222,28.185714,26.477778,22.850000,18.733333,15.844444,14.960000,17.140000,20.140000,22.800000,25.963636,28.620000
EZEIZA AERO/ARGENTINA,30187576000.000000,-34.820000,-58.530000,20.000000,30.166667,28.528571,26.620000,22.538462,18.700000,15.757143,14.986667,17.320000,19.057143,22.468750,25.678571,28.450000
SANTA ROSA AE/ARGENTINA,30187623000.000000,-36.570000,-64.270000,191.000000,31.363636,29.658333,27.120000,22.508333,18.008333,14.916667,14.783333,17.140000,20.066667,23.508333,26.530769,29.750000
DOLORES AERO/ARGENTINA,30187648000.000000,-36.350000,-57.730000,9.000000,28.569231,27.500000,25.269231,21.483333,17.758333,14.576923,14.192308,15.525000,17.472727,21.046154,23.520000,26.933333
TRES ARROYOS/ARGENTINA,30187688000.000000,-38.330000,-60.250000,115.000000,29.641667,27.730769,25.007143,20.623077,16.646154,13.554545,12.880000,14.778571,17.135714,20.475000,24.112500,27.500000
MAR DEL PLATA/ARGENTINA,30187692000.000000,-37.930000,-57.580000,21.000000,26.690000,25.463636,23.610000,20.466667,16.430000,13.430000,12.266667,14.000000,15.444444,18.809091,21.481818,24.570000
NEUQUEN AERO/ARGENTINA,30187715000.000000,-38.950000,-68.130000,271.000000,31.745455,30.146154,26.963636,21.458333,16.225000,12.875000,13.175000,16.050000,19.141667,23.141667,26.938462,29.908333
BAHIA BLANCA AERO/ARGENTINA,30187750000.000000,-38.700000,-62.200000,72.000000,31.415385,29.390000,26.528571,21.840000,17.561538,14.491667,14.166667,16.371429,19.015385,22.673333,25.814286,29.446154
BARILOCHE AER/ARGENTINA,30187765000.000000,-41.150000,-71.170000,840.000000,23.015385,23.369231,19.907692,15.140000,10.390909,6.900000,7.200000,7.221429,11.936364,14.166667,17.061538,20.027273
SAN ANTONIO O/ARGENTINA,30187784000.000000,-40.780000,-65.100000,20.000000,30.246154,28.569231,26.164286,21.460000,16.363636,13.333333,13.753333,15.481250,18.076923,22.440000,25.335714,28.814286
VIEDMA AERO/ARGENTINA,30187791000.000000,-40.850000,-63.020000,7.000000,30.163077,28.093333,25.639375,21.168000,16.641333,13.333125,13.301875,15.514375,18.225385,21.914375,24.595000,28.035333
ESQUEL AERO/ARGENTINA,30187803000.000000,-42.930000,-71.150000,785.000000,21.672857,23.690000,19.217500,14.930000,11.196667,7.970000,7.840000,8.517500,12.530000,14.593636,17.963333,19.810000
TRELEW AERO/ARGENTINA,30187828000.000000,-43.200000,-65.270000,43.000000,29.226667,27.433333,25.143750,21.000000,15.792308,12.550000,12.431250,15.200000,17.850000,21.800000,24.700000,27.343750
COMODORO RIVA/ARGENTINA,30187860000.000000,-45.780000,-67.500000,46.000000,26.206667,24.670000,22.587500,19.050000,14.666667,11.166667,11.157143,13.223077,15.857143,19.173333,21.800000,24.568750
PUERTO DESEAD/ARGENTINA,30187896000.000000,-47.730000,-65.920000,80.000000,23.164286,22.009091,20.020000,16.376923,11.425000,8.206667,7.500000,10.191667,13.550000,16.992857,19.610000,21.592308
SAN JULIAN AE/ARGENTINA,30187909000.000000,-49.320000,-67.750000,62.000000,22.971429,21.969231,19.875000,16.078571,11.185714,7.293333,7.100000,9.626667,13.730769,16.675000,19.006667,21.275000
RIO GALLEGOS/ARGENTINA,30187925000.000000,-51.620000,-69.280000,19.000000,19.792857,19.346154,16.956250,13.092308,8.520000,5.100000,5.075000,7.000000,11.457143,14.718750,16.760000,18.706250
USHUAIA AERO/ARGENTINA,30187938000.000000,-54.800000,-68.320000,14.000000,13.760000,13.755556,11.733333,9.422222,6.730000,4.363636,4.922222,5.544444,7.727273,10.363636,11.409091,12.633333
BASE ESPERANZ/ARGENTINA,30188963000.000000,-63.400000,-56.980000,-999.000000,4.161538,3.654545,1.658333,-0.650000,-2.784615,-5.710000,-5.554545,-4.992308,-3.081818,0.253846,2.200000,3.733333
ARICA/CHILE,30485406000.000000,-18.330000,-70.330000,58.000000,24.340000,24.423333,23.825714,22.296667,20.428000,18.116000,17.297500,17.411429,18.025714,19.482857,21.560000,22.873333
ANTOFAGASTA/CHILE,30485442000.000000,-23.430000,-70.430000,135.000000,22.700000,22.290909,21.354545,19.618182,18.366667,16.240000,15.785714,15.908333,16.383333,17.492308,19.478571,21.100000
IS. DE PASCUA/CHILE,30485469000.000000,-27.150000,-109.420000,51.000000,26.240000,26.453333,26.137333,25.012000,23.489231,22.321538,21.237333,21.221538,21.550667,22.441538,23.572500,24.812308
LA SERENA/CHILE,30485488000.000000,-29.900000,-71.200000,142.000000,21.215000,20.855000,20.154000,18.038333,16.940909,16.022727,15.521667,15.604000,16.150909,16.805000,18.164167,19.545000
PUDAHUEL/CHILE,30485574000.000000,-33.380000,-70.780000,475.000000,29.528571,27.383333,26.121429,22.492857,18.650000,16.575000,15.784615,17.269231,19.542857,22.780000,25.346154,27.527273
SANTIAGO Q. N/CHILE,30485577000.000000,-33.430000,-70.680000,520.000000,29.668889,27.731538,28.475714,22.465000,18.560000,16.567692,15.736000,17.677692,20.129333,23.050714,26.082667,28.219000
ISLA JUAN FER/CHILE,30485585000.000000,-33.670000,-78.980000,30.000000,21.036364,21.015385,20.573333,19.166667,17.838462,16.746154,15.346667,15.192857,14.966667,16.058333,17.453333,19.492308
CONCEPCION/CHILE,30485682000.000000,-36.770000,-73.050000,12.000000,22.250000,21.400769,20.236923,17.765000,15.544615,14.344615,13.896000,14.242667,15.565000,16.721538,19.659000,20.701818
TEMUCO/CHILE,30485743000.000000,-38.750000,-72.630000,114.000000,23.300000,24.790909,21.850000,18.000000,15.218182,13.441538,12.808333,13.826154,15.633846,16.869091,18.574667,21.355714
VALDIVIA/CHILE,30485766000.000000,-39.620000,-73.080000,19.000000,23.033333,23.166667,19.233333,17.220000,14.185714,13.142857,12.666667,13.328571,15.185714,16.885714,18.062500,22.275000
OSORNO/CHILE,30485782000.000000,-40.600000,-73.050000,65.000000,21.487500,21.845455,18.863636,15.737500,13.200000,11.788889,11.288889,11.958333,13.275000,15.520000,17.110000,20.155556
PUERTO MONTT/CHILE,30485799000.000000,-41.420000,-73.080000,85.000000,19.522500,19.650909,17.375385,15.130000,13.035000,11.226667,11.106154,11.544615,12.641818,14.132727,15.895714,18.126667
BALMACEDA/CHILE,30485874000.000000,-45.920000,-71.680000,520.000000,17.645455,17.290000,16.440000,12.687500,8.566667,6.130769,5.300000,7.108333,9.553846,12.127273,13.685714,16.583333
PUNTA ARENAS/CHILE,30485934000.000000,-53.000000,-70.850000,37.000000,14.497000,14.257500,12.880000,9.320000,7.440833,4.434545,3.989091,5.465833,8.673333,10.425455,12.283846,13.848333
CENTRO MET.AN/CHILE,30489056000.000000,-62.420000,-58.880000,10.000000,2.211429,2.247500,0.862500,-0.354000,-1.197500,-2.754545,-3.896000,-3.654545,-2.168889,-1.515556,-0.488000,0.630000
ZANDERIJ/SURINAME,31281225000.000000,5.450000,-55.200000,15.000000,30.040000,29.623333,30.556667,30.702500,30.390000,30.610000,31.106667,31.890000,32.910000,33.040000,32.345556,30.661429
ARTIGAS/URUGUAY,31386330000.000000,-30.380000,-56.500000,120.000000,32.290000,30.940000,28.710000,25.338462,21.292308,19.041667,18.585714,21.228571,22.225000,25.116667,28.310000,30.770000
SALTO/URUGUAY,31386360000.000000,-31.380000,-57.950000,33.000000,32.340000,30.385714,27.983333,24.775000,20.225000,18.360000,18.000000,20.266667,22.312500,25.662500,28.420000,30.633333
MELO/URUGUAY,31386440000.000000,-32.370000,-54.220000,100.000000,29.875000,29.260000,27.530000,24.328571,20.516667,17.618182,16.907692,18.883333,20.145455,23.341667,26.340000,28.744444
PASO DE LOS T/URUGUAY,31386460000.000000,-32.800000,-56.520000,75.000000,30.400000,29.562500,27.500000,23.527273,19.420000,17.111111,16.218182,18.616667,20.127273,23.527273,26.514286,29.657143
MERCEDES/URUGUAY,31386490000.000000,-33.250000,-58.070000,17.000000,31.055000,30.008571,28.465714,23.890000,20.367500,17.780000,17.280000,19.807273,20.860000,24.310000,27.551429,30.013333
COLONIA/URUGUAY,31386560000.000000,-34.450000,-57.830000,22.000000,28.557143,27.366667,25.908333,22.183333,18.500000,15.327273,14.772727,16.928571,18.463636,21.771429,24.733333,27.233333
ROCHA/URUGUAY,31386565000.000000,-34.480000,-54.300000,18.000000,27.500000,27.377778,25.350000,22.683333,19.154545,16.281818,15.681818,17.315385,17.591667,20.953846,23.757143,26.487500
CARRASCO/URUGUAY,31386580000.000000,-34.830000,-56.000000,32.000000,26.833333,26.350000,24.950000,21.600000,18.280000,18.033333,14.600000,17.700000,16.700000,19.150000,22.000000,25.900000
CORO/VENEZUELA,31480403000.000000,11.420000,-69.680000,17.000000,33.586154,33.543333,33.992308,34.661538,35.564286,35.692857,35.623077,36.620000,36.557143,35.709231,34.228571,33.622857
BARQUISIMETO/VENEZUELA,31480410000.000000,10.070000,-69.320000,614.000000,30.585833,31.370909,32.094167,30.885000,30.510000,29.456667,29.676000,30.588182,31.360000,30.801818,30.483636,30.160909
MARACAY - B.A/VENEZUELA,31480413000.000000,10.250000,-67.650000,437.000000,32.903077,33.716667,34.275000,33.732143,32.782857,31.705333,31.272000,31.152000,31.847143,32.058667,31.959333,32.287692
CARACAS/MAIQU/VENEZUELA,31480415000.000000,10.600000,-66.980000,48.000000,30.001667,29.590000,29.990000,30.940000,31.660000,31.910000,31.818333,32.410000,32.786154,32.375833,31.509286,30.499000
CARACAS/LA CARLOTA/VENEZUELA,31480416000.000000,10.500000,-66.900000,865.000000,28.173333,28.302308,29.647000,29.750833,29.735385,28.892500,28.401818,28.934167,29.235000,29.326154,28.541429,27.884667
BARCELONA/VENEZUELA,31480419000.000000,10.120000,-64.680000,7.000000,32.923333,33.120000,33.395000,34.152727,34.336667,33.020000,32.856000,33.252727,34.229091,33.960000,33.384286,33.103077
LA GUIRIA/VENEZUELA,31480423000.000000,10.580000,-62.300000,8.000000,29.918333,30.327692,31.104615,31.328571,31.012000,30.965333,31.388571,31.653846,31.235000,31.425333,31.358667,31.324286
MATURIN/VENEZUELA,31480435000.000000,9.750000,-63.180000,66.000000,31.173000,31.987778,32.853000,33.538000,33.213000,32.088182,32.051818,32.724545,33.332222,32.983000,32.212500,31.420000
MERIDA/VENEZUELA,31480438000.000000,8.600000,-71.180000,1498.000000,26.301538,26.740000,26.585000,27.016923,27.215714,26.787143,27.044286,27.647143,27.596923,27.115714,26.601538,26.440000
CIUDAD BOLIVA/VENEZUELA,31480444000.000000,8.150000,-63.550000,48.000000,31.788333,32.974000,34.004545,34.456000,33.674615,32.382308,31.960909,32.235385,33.312727,33.313636,32.841818,31.789231
SAN ANTONIO D/VENEZUELA,31480447000.000000,7.850000,-72.450000,378.000000,31.790000,32.326667,32.795714,33.317143,33.860000,33.438571,33.217143,34.263333,34.936667,34.583333,33.302308,32.397500
SAN FERNANDO/VENEZUELA,31480450000.000000,7.900000,-67.420000,48.000000,34.720000,35.379091,35.945000,35.642727,33.803333,32.211667,31.434286,32.023846,32.485385,33.434286,33.730000,33.962308
TUMEREMO/VENEZUELA,31480453000.000000,7.300000,-61.450000,181.000000,30.800000,31.725000,31.950000,32.420000,32.180000,31.590000,31.740000,32.463636,33.240000,32.881818,31.288889,30.925000
